vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,2014-01-09 20:45:25,2014-01-09 20:52:31,1,0.69999999999999996,-73.994770000000003,40.736828000000003,1,N,-73.982226999999995,40.731789999999997,CRD,6.5,0.5,0.5,1.3999999999999999,0,8.9000000000000004
CMT,2014-01-09 20:46:12,2014-01-09 20:55:12,1,1.3999999999999999,-73.982392000000004,40.773381999999998,1,N,-73.960448999999997,40.763995000000001,CRD,8.5,0.5,0.5,1.8999999999999999,0,11.4
CMT,2014-01-09 20:44:47,2014-01-09 20:59:46,2,2.2999999999999998,-73.988569999999996,40.739406000000002,1,N,-73.986626000000001,40.765217,CRD,11.5,0.5,0.5,1.5,0,14
CMT,2014-01-09 20:44:57,2014-01-09 20:51:40,1,1.7,-73.960212999999996,40.770463999999997,1,N,-73.979862999999995,40.777050000000003,CRD,7.5,0.5,0.5,1.7,0,10.199999999999999
CMT,2014-01-09 20:47:09,2014-01-09 20:53:32,1,0.90000000000000002,-73.995371000000006,40.717247999999998,1,N,-73.984367000000006,40.720523999999997,CRD,6,0.5,0.5,1.75,0,8.75
CMT,2014-01-09 20:45:07,2014-01-09 20:51:01,1,0.90000000000000002,-73.983811000000003,40.749654999999997,1,N,-73.989746999999994,40.756574999999998,CRD,6,0.5,0.5,1.3999999999999999,0,8.4000000000000004
CMT,2014-01-09 20:44:04,2014-01-09 21:05:45,1,3.6000000000000001,-73.984138000000002,40.726317000000002,1,N,-73.962868999999998,40.758443,CRD,16.5,0.5,0.5,5.25,0,22.75
CMT,2014-01-09 20:43:23,2014-01-09 20:52:07,1,2.1000000000000001,-73.979906,40.745849999999997,1,N,-73.959090000000003,40.773639000000003,CRD,9,0.5,0.5,2,0,12
CMT,2014-01-09 20:43:04,2014-01-09 20:54:29,1,3.3999999999999999,-73.981147000000007,40.758918000000001,1,N,-73.942509999999999,40.785975000000001,CRD,12,0.5,0.5,2.6000000000000001,0,15.6
CMT,2014-01-09 20:50:23,2014-01-09 20:58:10,1,2.2999999999999998,-73.955192999999994,40.765467999999998,1,N,-73.979022999999998,40.740577999999999,CRD,9,0.5,0.5,1,0,11
CMT,2014-01-09 20:51:36,2014-01-09 21:15:07,1,9.5,-73.885274999999993,40.773048000000003,1,N,-73.980879000000002,40.777383999999998,CRD,28.5,0.5,0.5,6.96,5.3300000000000001,41.789999999999999
CMT,2014-01-09 20:48:04,2014-01-09 21:01:37,1,3.2999999999999998,-73.991782000000001,40.748911,1,N,-73.988359000000003,40.714205,CRD,12.5,0.5,0.5,4.0499999999999998,0,17.550000000000001
CMT,2014-01-09 20:47:49,2014-01-09 20:56:11,2,1.8,-73.965716999999998,40.758674999999997,1,N,-73.984059000000002,40.737448000000001,CRD,8.5,0.5,0.5,1.8999999999999999,0,11.4
CMT,2014-01-09 20:48:47,2014-01-09 20:56:52,2,1.3999999999999999,-73.977008999999995,40.751620000000003,1,N,-73.982642999999996,40.766573999999999,CRD,7.5,0.5,0.5,1.7,0,10.199999999999999
CMT,2014-01-09 20:47:51,2014-01-09 21:02:31,3,2.6000000000000001,-73.977655999999996,40.753680000000003,1,N,-73.952248999999995,40.777676,CRD,12.5,0.5,0.5,1,0,14.5
CMT,2014-01-09 20:49:49,2014-01-09 21:20:38,1,11.199999999999999,-73.788265999999993,40.647542000000001,1,N,-73.949224999999998,40.652700000000003,CRD,35.5,0.5,0.5,0,0,36.5
CMT,2014-01-09 16:51:35,2014-01-09 17:00:17,1,1.7,-74.007503,40.725991999999998,1,N,-73.988181999999995,40.734583000000001,CRD,8.5,1,0.5,2,0,12
CMT,2014-01-09 16:43:29,2014-01-09 16:59:15,1,4.7000000000000002,-74.014865999999998,40.709353,1,N,-73.986084000000005,40.759081000000002,CRD,16,1,0.5,4,0,21.5
CMT,2014-01-09 16:46:50,2014-01-09 16:56:41,1,1.6000000000000001,-73.967675,40.763109,1,N,-73.952590999999998,40.778185999999998,CRD,9,1,0.5,2.1000000000000001,0,12.6
CMT,2014-01-09 16:47:00,2014-01-09 17:37:58,1,17.899999999999999,-73.781730999999994,40.644728999999998,2,N,-73.978604000000004,40.761822000000002,CRD,52,0,0.5,11.56,5.3300000000000001,69.390000000000001
CMT,2014-01-09 16:51:14,2014-01-09 16:51:34,1,0,-73.790554999999998,40.643934999999999,2,N,-73.790554999999998,40.643931000000002,CRD,52,0,0.5,14.449999999999999,5.3300000000000001,72.280000000000001
CMT,2014-01-09 16:42:16,2014-01-09 16:58:42,1,2.1000000000000001,-73.988810000000001,40.751013,1,Y,-73.996002000000004,40.726658,CRD,12.5,1,0.5,3.5,0,17.5
CMT,2014-01-09 16:42:05,2014-01-09 17:30:27,1,14.300000000000001,-74.013684999999995,40.709328999999997,1,N,-73.885670000000005,40.773195000000001,CRD,45.5,1,0.5,4,5.3300000000000001,56.329999999999998
CMT,2014-01-09 16:43:37,2014-01-09 16:56:23,1,1.6000000000000001,-73.970117000000002,40.752862,1,N,-73.954138,40.764080999999997,CRD,10,1,0.5,1,0,12.5
CMT,2014-01-09 16:46:36,2014-01-09 16:52:44,1,1.3,-73.991541999999995,40.738917999999998,1,N,-73.994747000000004,40.724133999999999,CRD,6.5,1,0.5,2,0,10
