p1,p2
343,894
344,894
358,388
362,632
362,682
363,475
363,520
363,521
363,632
364,475
364,520
364,521
364,632
370,388
375,894
376,894
388,400
388,403
388,405
388,407
388,409
388,410
388,411
388,412
388,561
388,564
388,565
388,567
388,568
388,741
388,743
388,775
388,779
388,787
388,791
388,793
388,795
388,797
388,799
388,805
388,809
388,811
388,813
388,817
388,818
388,866
388,867
388,868
388,871
388,873
388,875
388,876
388,879
388,880
388,881
388,882
388,887
388,889
388,890
388,891
388,892
388,895
388,897
388,898
388,899
388,900
388,901
388,902
388,904
388,905
388,906
388,907
388,908
388,909
388,910
388,913
388,915
388,917
388,927
388,933
388,941
388,955
388,1000
388,1001
388,1002
388,1006
388,1008
388,1011
388,1012
388,1013
388,1014
388,1017
388,1018
388,1021
388,1023
388,1024
388,1028
388,1031
395,632
404,955
411,967
412,967
423,424
423,439
423,462
423,627
423,628
423,673
423,674
423,693
423,694
423,735
423,791
433,894
437,780
437,967
438,780
438,967
439,440
439,792
439,894
439,967
440,792
440,810
440,894
440,967
488,632
491,894
497,894
498,894
507,894
508,680
508,894
512,632
512,637
513,514
513,894
514,639
514,894
515,894
516,894
533,534
534,632
537,640
538,640
538,894
539,639
539,894
540,639
540,894
551,894
552,894
569,915
570,894
570,915
577,894
585,894
586,894
597,598
601,894
602,894
605,976
608,976
609,976
610,967
610,976
614,976
632,714
632,730
639,680
639,894
640,680
640,894
641,642
641,693
641,694
641,791
641,792
641,809
641,810
641,879
641,880
642,693
642,694
642,791
642,792
642,809
642,810
642,879
642,880
645,894
646,894
651,780
653,780
673,693
679,894
680,732
693,694
693,791
693,792
693,809
693,810
693,879
693,880
694,791
694,792
694,809
694,810
694,879
697,699
697,700
698,700
720,894
732,894
740,780
744,780
744,967
755,894
756,894
761,762
772,780
777,894
779,780
780,786
780,788
780,790
780,794
780,796
780,798
780,800
780,804
780,806
780,808
780,810
780,812
780,814
780,816
780,918
780,919
780,920
780,925
780,926
780,928
780,931
780,932
780,934
780,935
780,936
780,937
780,938
780,940
780,942
780,943
780,944
780,945
780,946
780,949
780,950
780,951
780,952
780,953
780,954
780,956
780,957
780,959
780,960
780,961
780,962
780,963
780,964
780,966
780,968
780,971
780,972
781,894
783,894
791,809
791,810
791,879
791,880
792,809
794,967
798,967
800,920
800,967
804,967
809,810
809,879
809,880
810,879
810,880
810,967
816,967
823,894
824,894
845,894
846,894
853,894
854,894
879,880
894,915
894,916
894,921
894,947
894,1003
894,1004
894,1016
894,1025
894,1026
894,1029
894,1030
915,923
915,924
915,1015
915,1016
915,1029
916,923
916,924
916,1016
925,967
926,967
928,967
931,967
932,967
934,967
935,967
936,967
942,967
946,967
952,967
953,967
954,967
956,967
959,967
960,967
962,967
964,967
965,967
966,967
967,971
967,972
975,976
976,985
976,986
976,989
976,991
976,998
