p1,p2
1,219
1,236
2,219
2,236
3,39
3,41
3,42
3,78
3,170
3,191
3,325
3,967
4,236
5,31
5,277
5,388
5,792
5,915
5,916
6,31
6,236
6,388
6,791
6,792
6,809
6,915
8,39
8,41
8,42
8,78
8,170
8,191
8,325
8,967
9,169
9,219
9,236
9,803
9,999
10,219
10,236
11,213
11,236
12,191
12,213
12,236
12,325
12,967
13,219
13,236
14,265
14,894
15,236
16,170
17,236
18,170
18,213
18,370
20,236
21,31
21,170
21,174
21,213
21,214
21,370
21,564
21,791
21,795
21,809
21,867
21,879
21,880
21,955
21,1000
21,1012
22,31
22,32
22,39
22,41
22,42
22,78
22,191
22,265
22,388
22,792
22,894
23,236
24,30
24,99
24,265
24,277
24,894
24,920
25,31
25,236
25,388
25,693
25,694
25,791
25,792
25,809
25,880
25,894
25,915
26,31
26,277
26,388
26,777
26,792
26,894
26,915
26,916
27,31
27,236
27,388
27,639
27,791
27,792
27,880
27,915
28,31
28,236
28,388
28,791
28,792
28,809
28,879
28,880
28,915
29,30
29,53
29,54
29,81
29,209
29,210
29,235
29,265
29,277
29,278
29,423
29,424
29,439
29,440
29,641
29,642
29,673
29,674
29,693
29,694
29,791
29,792
29,809
29,810
29,879
29,880
29,894
29,915
30,32
30,53
30,54
30,81
30,209
30,235
30,264
30,267
30,268
30,277
30,285
30,423
30,433
30,440
30,461
30,462
30,510
30,627
30,628
30,641
30,642
30,693
30,694
30,780
30,791
30,800
30,809
30,879
30,880
30,924
31,32
31,71
31,72
31,74
31,98
31,100
31,106
31,169
31,170
31,175
31,176
31,185
31,211
31,212
31,227
31,228
31,246
31,277
31,278
31,302
31,313
31,318
31,327
31,339
31,340
31,349
31,350
31,366
31,369
31,391
31,402
31,425
31,426
31,449
31,463
31,464
31,468
31,469
31,472
31,473
31,474
31,486
31,519
31,520
31,569
31,570
31,575
31,576
31,584
31,591
31,610
31,619
31,632
31,634
31,638
31,641
31,642
31,650
31,661
31,663
31,664
31,682
31,683
31,684
31,688
31,693
31,694
31,697
31,701
31,702
31,712
31,723
31,724
31,749
31,750
31,752
31,759
31,760
31,777
31,781
31,783
31,790
31,803
31,810
31,837
31,838
31,878
31,893
31,912
31,915
31,916
31,920
31,921
31,940
31,947
31,968
31,982
31,989
31,999
31,1003
31,1004
31,1015
31,1016
31,1025
31,1026
31,1029
31,1030
32,85
32,86
32,87
32,91
32,92
32,95
32,99
32,119
32,123
32,124
32,143
32,149
32,219
32,236
32,251
32,252
32,258
32,261
32,262
32,267
32,275
32,278
32,313
32,317
32,318
32,319
32,322
32,325
32,327
32,328
32,440
32,632
32,653
32,740
32,780
32,786
32,790
32,810
32,812
32,920
32,937
32,940
32,942
32,949
32,950
32,951
32,954
32,957
32,960
32,966
32,967
32,968
33,73
35,71
35,73
35,75
36,191
36,967
39,64
39,65
39,66
39,73
39,74
39,81
39,89
39,92
39,98
39,100
39,106
39,124
39,125
39,133
39,156
39,167
39,168
39,185
39,187
39,189
39,219
39,220
39,233
39,246
39,252
39,266
39,270
39,277
39,278
39,296
39,300
39,302
39,309
39,312
39,313
39,317
39,318
39,322
39,327
39,339
39,340
39,349
39,350
39,359
39,361
39,366
39,369
39,391
39,401
39,402
39,404
39,406
39,408
39,425
39,426
39,448
39,449
39,450
39,463
39,464
39,468
39,469
39,472
39,473
39,474
39,479
39,480
39,482
39,486
39,499
39,503
39,519
39,520
39,535
39,541
39,543
39,545
39,562
39,563
39,566
39,573
39,574
39,575
39,576
39,579
39,580
39,584
39,591
39,592
39,610
39,619
39,621
39,632
39,634
39,637
39,638
39,641
39,642
39,650
39,661
39,664
39,682
39,683
39,684
39,688
39,693
39,694
39,697
39,701
39,702
39,710
39,712
39,723
39,724
39,739
39,746
39,748
39,749
39,750
39,752
39,759
39,760
39,769
39,770
39,774
39,776
39,788
39,790
39,791
39,801
39,802
39,807
39,809
39,810
39,812
39,815
39,821
39,837
39,838
39,852
39,865
39,872
39,874
39,877
39,879
39,880
39,883
39,884
39,888
39,893
39,896
39,911
39,914
39,920
39,940
39,945
39,951
39,961
39,974
39,975
39,982
39,986
39,989
39,994
39,1007
39,1009
39,1010
39,1020
39,1022
39,1027
40,265
40,894
41,65
41,66
41,73
41,74
41,81
41,98
41,100
41,106
41,185
41,219
41,220
41,246
41,252
41,266
41,277
41,278
41,302
41,313
41,318
41,327
41,339
41,340
41,349
41,350
41,366
41,369
41,391
41,402
41,404
41,406
41,408
41,425
41,426
41,449
41,463
41,464
41,468
41,469
41,472
41,473
41,474
41,486
41,519
41,520
41,562
41,573
41,575
41,576
41,580
41,584
41,591
41,610
41,619
41,632
41,634
41,638
41,641
41,642
41,650
41,661
41,664
41,682
41,683
41,684
41,688
41,693
41,694
41,697
41,701
41,702
41,712
41,723
41,724
41,739
41,749
41,750
41,752
41,759
41,760
41,774
41,790
41,791
41,802
41,809
41,810
41,837
41,838
41,872
41,874
41,879
41,880
41,883
41,888
41,893
41,911
41,920
41,940
41,982
41,986
41,989
41,1010
41,1022
42,65
42,66
42,73
42,74
42,81
42,98
42,100
42,106
42,185
42,219
42,220
42,246
42,252
42,266
42,277
42,278
42,302
42,313
42,318
42,327
42,339
42,340
42,349
42,350
42,366
42,369
42,391
42,402
42,404
42,406
42,408
42,425
42,426
42,449
42,463
42,464
42,468
42,469
42,472
42,473
42,474
42,486
42,519
42,520
42,562
42,573
42,575
42,576
42,580
42,584
42,591
42,610
42,619
42,632
42,634
42,638
42,641
42,642
42,650
42,661
42,664
42,682
42,683
42,684
42,688
42,693
42,694
42,697
42,701
42,702
42,712
42,723
42,724
42,739
42,749
42,750
42,752
42,759
42,760
42,774
42,790
42,791
42,802
42,809
42,810
42,837
42,838
42,872
42,874
42,879
42,880
42,883
42,888
42,893
42,911
42,920
42,940
42,982
42,986
42,989
42,1010
42,1022
44,73
45,46
45,71
45,73
45,75
46,80
50,73
53,54
53,81
53,82
53,265
53,268
53,277
53,278
53,423
53,424
53,439
53,461
53,462
53,510
53,627
53,628
53,641
53,642
53,693
53,694
53,791
53,792
53,809
53,810
53,879
53,880
53,894
54,81
54,82
54,210
54,236
54,265
54,268
54,277
54,278
54,423
54,424
54,439
54,461
54,462
54,509
54,510
54,569
54,570
54,627
54,628
54,641
54,642
54,674
54,693
54,694
54,791
54,792
54,809
54,810
54,879
54,880
54,894
58,191
58,967
64,191
64,325
64,967
65,277
65,792
65,894
66,277
66,792
67,71
67,73
67,75
67,562
67,682
68,78
71,78
71,174
71,191
71,325
71,388
71,564
71,690
71,967
71,976
72,78
72,191
72,325
72,388
72,967
73,416
73,657
73,658
74,191
74,325
74,388
74,658
74,967
75,78
75,191
75,325
75,880
75,967
75,976
77,265
77,894
78,89
78,92
78,98
78,100
78,106
78,124
78,125
78,133
78,156
78,168
78,185
78,187
78,189
78,219
78,220
78,233
78,246
78,252
78,266
78,277
78,278
78,296
78,302
78,309
78,313
78,317
78,318
78,322
78,327
78,339
78,340
78,349
78,350
78,359
78,361
78,366
78,369
78,391
78,401
78,402
78,404
78,406
78,408
78,425
78,426
78,448
78,449
78,450
78,463
78,464
78,468
78,469
78,472
78,473
78,474
78,479
78,480
78,482
78,486
78,499
78,503
