p1,p2,distance,similarity
158,1146,0.7291775799,0.6720741599
157,1722,0.6663174437,0.6141367323
158,1721,0.7517024620,0.6928350715
157,1881,0.6532215820,0.6020664349
158,1882,0.7412257727,0.6831788335
159,265,0.7166055526,0.6604866744
160,266,0.6972236773,0.6426226342
159,894,0.7050811943,0.6498648127
160,893,0.6846516501,0.6310351487
159,1145,0.7035096909,0.6484163770
160,1146,0.6836039811,0.6300695249
159,1722,0.7260345731,0.6691772885
160,1721,0.7050811943,0.6498648127
159,1881,0.7150340492,0.6590382387
160,1882,0.6961760084,0.6416570104
170,235,0.7448926139,0.6865585168
176,893,0.6616029335,0.6097914253
176,1146,0.6605552645,0.6088258015
175,1722,0.6537454164,0.6025492468
176,1721,0.6825563122,0.6291039011
191,236,0.9046621268,0.6670529162
191,277,0.7050811943,0.6498648127
191,424,0.6657936092,0.6136539204
191,462,0.7255107386,0.6686944766
191,461,0.6919853326,0.6377945153
191,642,0.6883184914,0.6344148320
191,641,0.6736511262,0.6208960989
191,674,0.6788894709,0.6257242178
191,673,0.7014143531,0.6464851294
191,791,0.7260345731,0.6691772885
191,810,0.6914614982,0.6373117034
191,809,0.6621267679,0.6102742372
191,880,0.7066526977,0.6513132484
191,879,0.6820324777,0.6286210892
191,1046,0.7176532216,0.6614522982
191,1045,0.6600314301,0.6083429896
191,1580,0.7323205867,0.6749710313
191,1579,0.7564169722,0.6971803785
191,1790,0.7066526977,0.6513132484
191,1789,0.6998428497,0.6450366937
191,1792,0.6542692509,0.6030320587
191,1791,0.6998428497,0.6450366937
191,1804,0.7365112624,0.6788335265
209,265,0.7517024620,0.6928350715
210,266,0.6794133054,0.6262070297
209,388,0.7412257727,0.6831788335
210,387,0.6689366160,0.6165507918
209,1881,0.7506547931,0.6918694477
210,1882,0.6778418020,0.6247585941
209,1969,0.7522262965,0.6933178834
210,1970,0.6794133054,0.6262070297
211,236,0.5715034049,0.6320973349
212,235,0.5552645364,0.6141367323
211,1722,0.6647459403,0.6126882966
213,236,0.7019381875,0.6469679413
214,235,0.6568884233,0.6054461182
219,894,0.8271346255,0.6098879876
219,1145,0.8266107910,0.6095017381
219,1722,0.8465165008,0.6241792198
227,894,0.6825563122,0.6291039011
228,893,0.6553169199,0.6039976825
227,1145,0.6809848088,0.6276554654
228,1146,0.6537454164,0.6025492468
227,1722,0.7035096909,0.6484163770
228,1721,0.6762702986,0.6233101584
235,265,0.7249869041,0.6682116647
236,326,0.8983761131,0.6624179220
236,369,0.7129387114,0.6571069911
235,388,0.7124148769,0.6566241792
236,434,0.5929806181,0.6558516802
236,462,0.4735463594,0.6110467362
236,513,0.5893137768,0.6517960603
236,537,0.5625982190,0.6222479722
236,570,0.5741225773,0.6349942063
236,569,0.5751702462,0.6361529548
236,577,0.5725510739,0.6332560834
236,642,0.4410686223,0.6504441869
236,669,0.5500261917,0.6083429896
236,693,0.4745940283,0.6998841251
236,713,0.6752226296,0.6223445346
236,729,0.7103195390,0.6546929316
236,779,0.7590361446,0.6995944380
236,799,0.6919853326,0.6377945153
236,880,0.4635935045,0.6836616454
236,879,0.4683080147,0.6906141367
236,968,0.9030906234,0.6658941676
236,1011,0.6762702986,0.6233101584
236,1015,0.6097433211,0.6743916570
236,1030,0.5568360398,0.6158748552
236,1045,0.5133577789,0.6624179220
236,1056,0.5112624411,0.6597141754
236,1060,0.6621267679,0.6102742372
236,1086,0.6778418020,0.6247585941
236,1085,0.7438449450,0.6855928930
236,1137,0.7181770561,0.6619351101
236,1147,0.6652697748,0.6131711085
236,1167,0.5804085909,0.6419466976
236,1191,0.5646935568,0.6245654693
236,1223,0.5584075432,0.6176129780
236,1265,0.5756940807,0.6367323291
236,1392,0.8999476166,0.6635766705
236,1396,0.5699319015,0.6303592121
236,1395,0.6024096386,0.6662804171
236,1416,0.5510738607,0.6095017381
236,1440,0.8920900995,0.6577829278
236,1442,0.6160293347,0.6813441483
236,1441,0.5735987428,0.6344148320
236,1462,0.7160817182,0.6600038625
236,1461,0.7197485595,0.6633835458
236,1477,0.5353588266,0.6908072615
236,1483,0.7234154007,0.6667632290
236,1536,0.5694080671,0.6297798378
236,1541,0.6521739130,0.6011008111
236,1682,0.6537454164,0.6025492468
236,1686,0.5568360398,0.6158748552
236,1760,0.5636458879,0.6234067207
236,1792,0.5269774751,0.6799922750
236,1813,0.7354635935,0.6778679027
236,1858,0.5877422734,0.6500579374
235,1881,0.7234154007,0.6667632290
236,1899,0.6642221058,0.6122054847
236,1937,0.7035096909,0.6484163770
236,1961,0.7077003667,0.6522788722
235,1969,0.7255107386,0.6686944766
239,265,0.6914614982,0.6373117034
240,266,0.6694604505,0.6170336037
239,894,0.6799371399,0.6266898416
240,893,0.6574122577,0.6059289301
239,1145,0.6783656365,0.6252414059
240,1146,0.6558407543,0.6044804944
239,1722,0.7008905186,0.6460023175
240,1721,0.6783656365,0.6252414059
239,1881,0.6898899948,0.6358632677
240,1882,0.6678889471,0.6155851680
263,265,0.6563645888,0.6049633063
264,266,0.6893661603,0.6353804558
264,893,0.6804609743,0.6271726535
264,1146,0.6783656365,0.6252414059
263,1722,0.6673651126,0.6151023561
264,1721,0.7008905186,0.6460023175
263,1881,0.6542692509,0.6030320587
264,1882,0.6872708224,0.6334492082
265,266,0.6568884233,0.6054461182
265,272,0.7082242012,0.6527616840
265,271,0.6825563122,0.6291039011
265,286,0.6809848088,0.6276554654
265,285,0.6825563122,0.6291039011
265,324,0.6568884233,0.6054461182
265,323,0.7166055526,0.6604866744
265,344,0.7087480356,0.6532444959
265,343,0.7276060765,0.6706257242
265,376,0.6715557884,0.6189648513
265,375,0.6673651126,0.6151023561
265,433,0.6799371399,0.6266898416
265,491,0.6652697748,0.6131711085
265,498,0.6977475118,0.6431054461
265,497,0.6710319539,0.6184820394
265,508,0.7307490833,0.6735225956
265,507,0.6736511262,0.6208960989
265,514,0.6741749607,0.6213789108
265,513,0.7239392352,0.6672460409
265,516,0.6788894709,0.6257242178
265,515,0.7082242012,0.6527616840
265,538,0.6652697748,0.6131711085
265,540,0.7139863803,0.6580726149
265,539,0.6652697748,0.6131711085
265,552,0.6553169199,0.6039976825
265,551,0.6621267679,0.6102742372
265,570,0.6532215820,0.6020664349
265,577,0.6605552645,0.6088258015
265,580,0.6872708224,0.6334492082
265,586,0.6600314301,0.6083429896
265,585,0.6642221058,0.6122054847
265,632,0.8580408591,0.6326767092
265,640,0.6956521739,0.6411741985
265,639,0.7223677318,0.6657976053
265,646,0.6589837611,0.6073773658
265,645,0.6919853326,0.6377945153
265,655,0.6595075956,0.6078601777
265,662,0.6616029335,0.6097914253
265,661,0.7312729178,0.6740054075
265,670,0.6558407543,0.6044804944
265,669,0.6809848088,0.6276554654
265,679,0.6621267679,0.6102742372
265,732,0.7522262965,0.6933178834
265,778,0.6783656365,0.6252414059
265,777,0.6741749607,0.6213789108
265,782,0.6610790990,0.6093086134
265,781,0.6741749607,0.6213789108
265,784,0.6925091671,0.6382773272
265,783,0.6762702986,0.6233101584
265,893,0.7024620220,0.6474507532
265,916,0.7359874280,0.6783507146
265,922,0.6600314301,0.6083429896
265,921,0.6684127816,0.6160679799
265,924,0.6867469880,0.6329663963
265,923,0.6883184914,0.6344148320
265,947,0.6657936092,0.6136539204
265,1004,0.6673651126,0.6151023561
265,1003,0.6579360922,0.6064117420
265,1016,0.6830801467,0.6295867130
265,1026,0.6673651126,0.6151023561
265,1025,0.6972236773,0.6426226342
265,1030,0.6657936092,0.6136539204
265,1029,0.6736511262,0.6208960989
265,1052,0.7077003667,0.6522788722
265,1051,0.7171293871,0.6609694863
265,1078,0.6511262441,0.6001351873
265,1077,0.6809848088,0.6276554654
265,1098,0.6841278156,0.6305523368
265,1097,0.6553169199,0.6039976825
265,1146,0.6736511262,0.6208960989
265,1150,0.7475117863,0.6889725763
265,1149,0.6694604505,0.6170336037
265,1162,0.7270822420,0.6701429123
265,1161,0.7270822420,0.6701429123
265,1168,0.6684127816,0.6160679799
265,1167,0.6794133054,0.6262070297
265,1191,0.7003666841,0.6455195056
265,1194,0.7574646412,0.6981460023
265,1193,0.6605552645,0.6088258015
265,1199,0.6563645888,0.6049633063
265,1224,0.6558407543,0.6044804944
265,1223,0.7166055526,0.6604866744
265,1238,0.7155578837,0.6595210506
265,1244,0.6616029335,0.6097914253
265,1243,0.7166055526,0.6604866744
265,1252,0.6956521739,0.6411741985
265,1251,0.6595075956,0.6078601777
265,1278,0.9271870089,0.6836616454
265,1312,0.7338920901,0.6764194670
265,1311,0.6830801467,0.6295867130
265,1318,0.6888423258,0.6348976439
265,1317,0.6720796228,0.6194476632
265,1396,0.6668412782,0.6146195442
265,1395,0.6537454164,0.6025492468
265,1402,0.7207962284,0.6643491696
265,1416,0.7008905186,0.6460023175
265,1415,0.6746987952,0.6218617227
265,1432,0.6694604505,0.6170336037
265,1431,0.6804609743,0.6271726535
265,1442,0.6563645888,0.6049633063
265,1441,0.6689366160,0.6165507918
265,1464,0.6558407543,0.6044804944
265,1463,0.6689366160,0.6165507918
265,1528,0.6778418020,0.6247585941
265,1527,0.6809848088,0.6276554654
265,1533,0.6788894709,0.6257242178
265,1536,0.6736511262,0.6208960989
265,1535,0.6904138292,0.6363460796
265,1586,0.7454164484,0.6870413287
265,1585,0.7097957046,0.6542101197
265,1620,0.5641697224,0.6239860950
265,1623,0.7077003667,0.6522788722
265,1679,0.7302252488,0.6730397837
265,1686,0.6877946569,0.6339320201
265,1685,0.6689366160,0.6165507918
265,1696,0.6574122577,0.6059289301
265,1695,0.7286537454,0.6715913480
265,1704,0.7014143531,0.6464851294
265,1703,0.7029858565,0.6479335651
265,1712,0.6998428497,0.6450366937
265,1711,0.6987951807,0.6440710699
265,1714,0.6867469880,0.6329663963
265,1713,0.6956521739,0.6411741985
265,1716,0.6925091671,0.6382773272
265,1715,0.7312729178,0.6740054075
265,1718,0.6715557884,0.6189648513
265,1720,0.7202723939,0.6638663577
265,1719,0.6605552645,0.6088258015
266,1721,0.6668412782,0.6146195442
265,1760,0.6652697748,0.6131711085
265,1759,0.6568884233,0.6054461182
265,1816,0.6778418020,0.6247585941
265,1815,0.6726034573,0.6199304751
265,1824,0.6657936092,0.6136539204
265,1823,0.6521739130,0.6011008111
265,1844,0.6526977475,0.6015836230
265,1843,0.6930330016,0.6387601390
265,1852,0.6605552645,0.6088258015
265,1851,0.6804609743,0.6271726535
265,1872,0.6657936092,0.6136539204
265,1871,0.7260345731,0.6691772885
266,1882,0.6553169199,0.6039976825
265,1893,0.6547930854,0.6035148706
265,1899,0.6809848088,0.6276554654
265,1910,0.6940806705,0.6397257628
265,1909,0.6773179675,0.6242757822
265,1924,0.8643268727,0.6373117034
265,1932,0.6631744369,0.6112398610
265,1931,0.7035096909,0.6484163770
265,1950,0.7181770561,0.6619351101
265,1949,0.7129387114,0.6571069911
265,1972,0.6516500786,0.6006179992
265,1971,0.6678889471,0.6155851680
265,1984,0.6720796228,0.6194476632
265,1983,0.6752226296,0.6223445346
265,1990,0.6951283394,0.6406913866
265,1989,0.7244630697,0.6677288528
265,1997,0.7181770561,0.6619351101
267,325,0.7239392352,0.6672460409
268,326,0.6935568360,0.6392429509
267,388,0.7082242012,0.6527616840
268,387,0.6731272918,0.6204132870
267,967,0.7286537454,0.6715913480
268,968,0.6982713463,0.6435882580
267,1969,0.7213200629,0.6648319815
268,1970,0.6898899948,0.6358632677
271,894,0.6715557884,0.6189648513
272,893,0.6982713463,0.6435882580
271,1145,0.6699842850,0.6175164156
272,1146,0.6961760084,0.6416570104
271,1722,0.6925091671,0.6382773272
272,1721,0.7187008905,0.6624179220
271,1881,0.6804609743,0.6271726535
272,1882,0.7061288633,0.6508304365
278,387,0.6181246726,0.6836616454
277,780,0.5814562598,0.6431054461
278,779,0.5735987428,0.6344148320
277,976,0.6673651126,0.6151023561
277,1188,0.6312205343,0.6981460023
278,1277,0.6076479832,0.6720741599
277,1391,0.6972236773,0.6426226342
277,1439,0.6856993190,0.6320007725
277,1620,0.4316396019,0.6365392043
277,1780,0.6170770037,0.6825028969
277,1779,0.6134101624,0.6784472769
277,1968,0.6097433211,0.6743916570
285,894,0.6736511262,0.6208960989
286,893,0.6705081194,0.6179992275
285,1145,0.6715557884,0.6189648513
286,1146,0.6689366160,0.6165507918
285,1722,0.6940806705,0.6397257628
286,1721,0.6914614982,0.6373117034
285,1881,0.6804609743,0.6271726535
286,1882,0.6788894709,0.6257242178
305,894,0.6678889471,0.6155851680
306,893,0.7323205867,0.6749710313
305,1145,0.6668412782,0.6146195442
306,1146,0.7307490833,0.6735225956
305,1722,0.6888423258,0.6348976439
306,1721,0.7527501310,0.6938006952
305,1881,0.6794133054,0.6262070297
306,1882,0.7433211105,0.6851100811
323,894,0.7066526977,0.6513132484
323,1145,0.7045573599,0.6493820008
323,1722,0.7270822420,0.6701429123
324,1721,0.6673651126,0.6151023561
323,1881,0.7145102148,0.6585554268
324,1882,0.6547930854,0.6035148706
325,424,0.6600314301,0.6083429896
325,440,0.7375589314,0.6797991503
325,439,0.6710319539,0.6184820394
325,462,0.7197485595,0.6633835458
325,461,0.6867469880,0.6329663963
325,510,0.6710319539,0.6184820394
325,509,0.6888423258,0.6348976439
325,628,0.7097957046,0.6542101197
325,627,0.6909376637,0.6368288915
325,674,0.6731272918,0.6204132870
325,673,0.6956521739,0.6411741985
325,1046,0.7129387114,0.6571069911
325,1045,0.6547930854,0.6035148706
325,1056,0.6888423258,0.6348976439
325,1055,0.7213200629,0.6648319815
325,1084,0.6883184914,0.6344148320
325,1083,0.7207962284,0.6643491696
325,1266,0.6516500786,0.6006179992
325,1265,0.6872708224,0.6334492082
325,1414,0.7396542693,0.6817303978
325,1413,0.6773179675,0.6242757822
325,1477,0.6788894709,0.6257242178
325,1580,0.7265584075,0.6696601004
325,1579,0.7506547931,0.6918694477
325,1790,0.7008905186,0.6460023175
325,1789,0.6951283394,0.6406913866
325,1791,0.6946045050,0.6402085747
325,1804,0.7307490833,0.6735225956
325,1803,0.7543216344,0.6952491309
325,1858,0.6678889471,0.6155851680
325,1857,0.6605552645,0.6088258015
343,1145,0.7150340492,0.6590382387
344,1146,0.6956521739,0.6411741985
343,1722,0.7375589314,0.6797991503
344,1721,0.7181770561,0.6619351101
375,1145,0.6553169199,0.6039976825
376,1146,0.6584599267,0.6068945539
375,1722,0.6778418020,0.6247585941
376,1721,0.6804609743,0.6271726535
388,462,0.6673651126,0.6151023561
388,461,0.7019381875,0.6469679413
388,510,0.6741749607,0.6213789108
388,509,0.6537454164,0.6025492468
388,628,0.6736511262,0.6208960989
388,627,0.6914614982,0.6373117034
388,674,0.6830801467,0.6295867130
388,673,0.6595075956,0.6078601777
388,792,0.7003666841,0.6455195056
388,809,0.6647459403,0.6126882966
388,880,0.6579360922,0.6064117420
388,879,0.6820324777,0.6286210892
388,1045,0.6914614982,0.6373117034
388,1580,0.7370350969,0.6793163384
388,1579,0.7118910424,0.6561413673
388,1790,0.6720796228,0.6194476632
388,1789,0.6830801467,0.6295867130
388,1792,0.6731272918,0.6204132870
388,1804,0.7422734416,0.6841444573
388,1803,0.7155578837,0.6595210506
423,1188,0.6951283394,0.6406913866
423,1620,0.4834992142,0.6238895326
424,1882,0.6568884233,0.6054461182
424,1970,0.6584599267,0.6068945539
433,1722,0.6914614982,0.6373117034
434,1721,0.6558407543,0.6044804944
439,967,0.6757464641,0.6228273465
440,968,0.7422734416,0.6841444573
439,1969,0.6673651126,0.6151023561
440,1970,0.7354635935,0.6778679027
461,894,0.6715557884,0.6189648513
462,893,0.7050811943,0.6498648127
461,1145,0.6699842850,0.6175164156
462,1146,0.7035096909,0.6484163770
461,1881,0.6804609743,0.6271726535
462,1882,0.7145102148,0.6585554268
461,1969,0.6830801467,0.6295867130
462,1970,0.7171293871,0.6609694863
491,1722,0.6736511262,0.6208960989
492,1721,0.6568884233,0.6054461182
497,1145,0.6589837611,0.6073773658
498,1146,0.6862231535,0.6324835844
497,1722,0.6815086433,0.6281382773
498,1721,0.7087480356,0.6532444959
507,1145,0.6605552645,0.6088258015
508,1146,0.7171293871,0.6609694863
507,1722,0.6825563122,0.6291039011
508,1721,0.7391304348,0.6812475859
509,894,0.6741749607,0.6213789108
510,893,0.6563645888,0.6049633063
509,1881,0.6846516501,0.6310351487
510,1882,0.6657936092,0.6136539204
509,1969,0.6867469880,0.6329663963
510,1970,0.6684127816,0.6160679799
513,1145,0.7103195390,0.6546929316
514,1146,0.6631744369,0.6112398610
513,1722,0.7323205867,0.6749710313
514,1721,0.6856993190,0.6320007725
515,1145,0.6956521739,0.6411741985
516,1146,0.6663174437,0.6141367323
515,1722,0.7187008905,0.6624179220
516,1721,0.6888423258,0.6348976439
538,1146,0.6542692509,0.6030320587
538,1721,0.6767941331,0.6237929703
539,1145,0.6532215820,0.6020664349
540,1146,0.7019381875,0.6469679413
539,1722,0.6757464641,0.6228273465
540,1721,0.7244630697,0.6677288528
551,1722,0.6720796228,0.6194476632
552,1721,0.6657936092,0.6136539204
570,1721,0.6647459403,0.6126882966
577,1722,0.6710319539,0.6184820394
578,1721,0.6579360922,0.6064117420
580,1721,0.6982713463,0.6435882580
585,1722,0.6720796228,0.6194476632
586,1721,0.6705081194,0.6179992275
601,894,0.7061288633,0.6508304365
602,893,0.7448926139,0.6865585168
601,1145,0.7045573599,0.6493820008
602,1146,0.7433211105,0.6851100811
601,1722,0.7270822420,0.6701429123
601,1881,0.7145102148,0.6585554268
602,1882,0.7558931378,0.6966975666
610,893,0.8292299633,0.6114329857
610,1146,0.8281822944,0.6106604867
610,1619,0.6254583552,0.6917728853
610,1721,0.8486118387,0.6257242178
610,1882,0.8423258250,0.6210892236
627,894,0.6762702986,0.6233101584
628,893,0.6946045050,0.6402085747
627,1881,0.6856993190,0.6320007725
628,1882,0.7040335254,0.6488991889
627,1969,0.6883184914,0.6344148320
628,1970,0.7066526977,0.6513132484
632,1721,0.8632792038,0.6365392043
639,1145,0.7082242012,0.6527616840
640,1146,0.6815086433,0.6281382773
639,1722,0.7291775799,0.6720741599
640,1721,0.7035096909,0.6484163770
641,967,0.6726034573,0.6199304751
642,968,0.6872708224,0.6334492082
641,1391,0.6631744369,0.6112398610
642,1392,0.6788894709,0.6257242178
642,1440,0.6657936092,0.6136539204
645,1145,0.6783656365,0.6252414059
645,1722,0.7003666841,0.6455195056
646,1721,0.6678889471,0.6155851680
655,1722,0.6699842850,0.6175164156
655,1881,0.6579360922,0.6064117420
673,894,0.6809848088,0.6276554654
674,893,0.6584599267,0.6068945539
673,1145,0.6799371399,0.6266898416
674,1146,0.6574122577,0.6059289301
673,1881,0.6925091671,0.6382773272
674,1882,0.6694604505,0.6170336037
673,1969,0.6940806705,0.6397257628
674,1970,0.6710319539,0.6184820394
679,1722,0.6705081194,0.6179992275
693,967,0.6673651126,0.6151023561
694,968,0.6987951807,0.6440710699
693,1391,0.6568884233,0.6054461182
694,1392,0.6888423258,0.6348976439
694,1440,0.6746987952,0.6218617227
719,1722,0.6631744369,0.6112398610
720,1721,0.6710319539,0.6184820394
720,1882,0.6605552645,0.6088258015
731,1722,0.6579360922,0.6064117420
755,894,0.7040335254,0.6488991889
756,893,0.7469879518,0.6884897644
755,1145,0.7024620220,0.6474507532
756,1146,0.7459402829,0.6875241406
756,1619,0.4651650079,0.6002317497
755,1722,0.7249869041,0.6682116647
755,1881,0.7139863803,0.6580726149
756,1882,0.7590361446,0.6995944380
777,894,0.6621267679,0.6102742372
778,893,0.6668412782,0.6146195442
777,1145,0.6605552645,0.6088258015
778,1146,0.6652697748,0.6131711085
777,1722,0.6830801467,0.6295867130
778,1721,0.6877946569,0.6339320201
780,810,0.5762179151,0.6373117034
780,809,0.6102671556,0.6749710313
780,880,0.5882661079,0.6506373117
780,879,0.6144578313,0.6796060255
780,1752,0.5557883709,0.6147161066
780,1751,0.5845992666,0.6465816918
781,894,0.6621267679,0.6102742372
781,1145,0.6605552645,0.6088258015
781,1722,0.6825563122,0.6291039011
782,1721,0.6689366160,0.6165507918
783,894,0.6636982713,0.6117226728
784,893,0.6820324777,0.6286210892
