p1,p2,distance,similarity
31,236,0.8831849136,0.8140208575
209,894,0.7396542693,0.8180764774
209,1145,0.7380827658,0.8163383546
209,1722,0.7600838135,0.8406720742
236,266,0.8999476166,0.8294708382
236,387,0.8973284442,0.8270567787
236,1187,0.9229963332,0.8507145616
236,1623,0.7496071241,0.8290845886
235,1722,0.7338920901,0.8117033604
236,1780,0.9057097957,0.8347817690
236,1779,0.9093766370,0.8381614523
236,1882,0.8999476166,0.8294708382
236,1967,0.8978522787,0.8275395906
236,1970,0.8994237821,0.8289880263
265,278,0.6359350445,0.8205870993
265,440,0.7349397590,0.8128621089
265,642,0.6799371399,0.8773657783
265,641,0.6642221058,0.8570876786
265,694,0.6904138292,0.8908845114
265,693,0.6584599267,0.8496523754
265,810,0.6809848088,0.8787176516
265,809,0.6526977475,0.8422170722
265,880,0.6972236773,0.8996716879
265,879,0.6726034573,0.8679026651
265,1414,0.7375589314,0.8157589803
265,1580,0.7239392352,0.8006952491
265,1579,0.7480356207,0.8273464658
265,1752,0.6537454164,0.8435689455
265,1751,0.6526977475,0.8422170722
265,1804,0.7281299109,0.8053302433
265,1803,0.7527501310,0.8325608343
267,1722,0.7302252488,0.8076477404
277,894,0.6846516501,0.8834492082
278,893,0.6265060241,0.8084202395
277,1145,0.6836039811,0.8820973349
278,1146,0.6244106862,0.8057164929
278,1721,0.6469355684,0.8347817690
277,1881,0.6966998428,0.8989957513
278,1882,0.6333158722,0.8172074160
440,1721,0.7438449450,0.8227114716
440,1882,0.7338920901,0.8117033604
462,1721,0.7260345731,0.8030127462
641,1145,0.6516500786,0.8408651989
642,1146,0.6663174437,0.8597914253
641,1722,0.6736511262,0.8692545384
642,1721,0.6888423258,0.8888567014
693,1722,0.6689366160,0.8631711085
809,894,0.6422210581,0.8286983391
810,893,0.6710319539,0.8658748552
809,1145,0.6401257203,0.8259945925
810,1146,0.6694604505,0.8638470452
809,1722,0.6631744369,0.8557358053
810,1721,0.6919853326,0.8929123214
879,894,0.6616029335,0.8537079954
880,893,0.6862231535,0.8854770182
879,1145,0.6600314301,0.8516801854
880,1146,0.6846516501,0.8834492082
879,1722,0.6825563122,0.8807454616
894,1413,0.7249869041,0.8018539977
894,1580,0.7359874280,0.8140208575
894,1752,0.6406495547,0.8266705292
894,1751,0.6437925616,0.8307261491
894,1804,0.7401781037,0.8186558517
1055,1722,0.7270822420,0.8041714948
1083,1722,0.7270822420,0.8041714948
1145,1579,0.7349397590,0.8128621089
1145,1752,0.6422210581,0.8286983391
1145,1751,0.6396018858,0.8253186559
1145,1803,0.7391304348,0.8174971031
1414,1721,0.7459402829,0.8250289687
1579,1722,0.7569408067,0.8371958285
1580,1721,0.7323205867,0.8099652375
1695,1722,0.7380827658,0.8163383546
1695,1881,0.7270822420,0.8041714948
1722,1752,0.6616029335,0.8537079954
1722,1751,0.6647459403,0.8577636153
1722,1804,0.7606076480,0.8412514484
1722,1803,0.7370350969,0.8151796060
