Value,All,0.0 ~ 0.1,0.1 ~ 0.2,0.2 ~ 0.3,0.3 ~ 0.4,0.4 ~ 0.5,0.5 ~ 0.6,0.6 ~ 0.7,0.7 ~ 0.8,0.8 ~ 0.9,0.9 ~ 1.0
Similarity,1900225,1404253,383005,77654,22634,7384,3773,1198,233,78,13
Distance,1900225,826178,646338,256167,99297,29506,9628,26111,6745,223,32
