"vendor_id","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount"
"CMT","2014-01-09 21:49:26","2014-01-09 21:55:20",1,"1,4","-74,002429","40,734449",1,"N","-73,986076","40,74022","CRD","6,5","0,5","0,5","1,5",0,9
"CMT","2014-01-09 21:47:04","2014-01-09 21:50:38",1,"0,9","-73,960472","40,770138",1,"N","-73,955057","40,781749","CRD",5,"0,5","0,5","1,2",0,"7,2"
"CMT","2014-01-09 21:49:36","2014-01-09 21:57:14",1,"1,7","-73,980816","40,764349",1,"N","-73,991231","40,750719","CRD",8,"0,5","0,5","1,8",0,"10,8"
"CMT","2014-01-09 21:51:25","2014-01-09 22:10:02",1,7,"-74,00346","40,748904",1,"N","-73,996721","40,663365","CRD","21,5","0,5","0,5","5,56","5,33","33,39"
"CMT","2014-01-09 21:48:04","2014-01-09 21:55:46",1,"1,5","-73,979416","40,766493",1,"N","-73,998294","40,756863","CRD","7,5","0,5","0,5",1,0,"9,5"
"CMT","2014-01-09 21:49:31","2014-01-09 21:51:59",1,"0,5","-73,98953","40,734316",1,"N","-73,983347","40,734478","CRD",4,"0,5","0,5",1,0,6
"CMT","2014-01-09 21:51:48","2014-01-09 21:55:08",1,"0,6","-73,97041","40,7595",1,"N","-73,974723","40,755365","CRD","4,5","0,5","0,5","1,1",0,"6,6"
"CMT","2014-01-09 21:44:59","2014-01-09 22:04:38",1,5,"-73,982765","40,743564",1,"Y","-73,954252","40,803059","CRD",19,"0,5","0,5",4,0,24
"CMT","2014-01-09 21:45:30","2014-01-09 22:16:49",1,"8,7","-73,863008","40,769185",1,"N","-73,987709","40,770281","CRD","29,5","0,5","0,5",5,0,"35,5"
"CMT","2014-01-09 21:53:53","2014-01-09 22:00:45",1,"1,5","-73,991134","40,739729",1,"N","-74,001103","40,721733","CRD",7,"0,5","0,5","1,6",0,"9,6"
"CMT","2014-01-09 21:54:09","2014-01-09 22:04:06",2,"1,8","-74,002665","40,751134",1,"N","-74,002665","40,751134","CRD",9,"0,5","0,5","2,5",0,"12,5"
"CMT","2014-01-09 21:51:23","2014-01-09 22:25:38",1,"9,7","-73,976288","40,75459",5,"Y","-74,057928","40,742812","CRD",61,0,0,0,9,70
"CMT","2014-01-09 21:52:51","2014-01-09 22:00:31",1,"2,6","-74,00271","40,733161",1,"N","-74,00271","40,733161","CRD",10,"0,5","0,5","2,2",0,"13,2"
"CMT","2014-01-09 21:56:27","2014-01-09 22:03:59",1,"1,3","-73,988034","40,718685",1,"N","-74,005591","40,717862","CRD","7,5","0,5","0,5","1,08",0,"9,58"
"CMT","2014-01-09 21:53:26","2014-01-09 22:10:11",1,"4,1","-73,991585","40,735312",1,"N","-73,958097","40,717483","CRD","15,5","0,5","0,5",2,0,"18,5"
"CMT","2014-01-09 21:50:20","2014-01-09 22:09:37",1,"2,3","-73,975836","40,749046",1,"N","-73,971989","40,755998","CRD","13,5","0,5","0,5","2,9",0,"17,4"
"CMT","2014-01-09 21:51:16","2014-01-09 22:03:26",1,"2,5","-73,990112","40,719047",1,"N","-73,993257","40,746528","CRD",11,"0,5","0,5",1,0,13
"CMT","2014-01-09 21:44:48","2014-01-09 22:13:47",1,"13,4","-74,012713","40,702469",1,"N","-73,860029","40,720961","CRD",38,"0,5","0,5",6,"5,33","50,33"
"CMT","2014-01-09 21:47:23","2014-01-09 22:05:41",1,"3,5","-73,967805","40,760859",1,"N","-74,004705","40,738316","CRD","14,5","0,5","0,5","3,87",0,"19,37"
"CMT","2014-01-09 21:44:53","2014-01-09 22:08:45",1,"5,6","-74,008321","40,729776",1,"N","-73,954037","40,78434","CRD",20,"0,5","0,5","5,25",0,"26,25"
"CMT","2014-01-09 21:48:11","2014-01-09 21:57:40",1,"1,3","-73,969053","40,761099",1,"N","-73,988729","40,762424","CRD",8,"0,5","0,5",1,0,10
"CMT","2014-01-09 21:49:35","2014-01-09 22:02:19",1,"4,1","-74,002496","40,750189",1,"N","-73,955914","40,773862","CRD","13,5","0,5","0,5","2,9",0,"17,4"
"CMT","2014-01-09 21:48:44","2014-01-09 22:00:51",1,"3,2","-73,98556","40,731588",1,"N","-73,984357","40,691515","CRD","12,5","0,5","0,5","2,7",0,"16,2"
"CMT","2014-01-09 21:48:46","2014-01-09 21:54:13",2,"0,9","-73,988887","40,736913",1,"N","-73,989966","40,747071","CRD",6,"0,5","0,5","1,4",0,"8,4"
"CMT","2014-01-09 21:48:01","2014-01-09 21:59:00",2,"2,4","-73,978422","40,736845",1,"N","-73,981282","40,762655","CRD","10,5","0,5","0,5","2,3",0,"13,8"
"CMT","2014-01-09 21:52:28","2014-01-09 22:10:03",1,"4,2","-74,005286","40,742399",1,"N","-73,960113","40,77047","CRD",16,"0,5","0,5","3,4",0,"20,4"
"CMT","2014-01-09 21:48:43","2014-01-09 21:48:55",1,0,"-73,990763","40,72059",2,"N","-73,99076","40,720599","CRD",52,0,"0,5","10,5",0,63
"CMT","2014-01-09 21:51:14","2014-01-09 21:55:03",1,"0,5","-73,992395","40,725088",1,"N","-73,988531","40,719918","CRD","4,5","0,5","0,5",1,0,"6,5"
"CMT","2014-01-09 21:55:52","2014-01-09 22:03:10",2,"1,4","-73,982317","40,77167",1,"N","-73,967675","40,758208","CRD",7,"0,5","0,5","1,6",0,"9,6"
"CMT","2014-01-09 21:47:06","2014-01-09 22:11:06",1,"10,7","-73,976687","40,75506",1,"N","-73,976305","40,657355","CRD","31,5","0,5","0,5",5,0,"37,5"
"CMT","2014-01-09 21:56:31","2014-01-09 22:14:33",1,"3,8","-73,952195","40,781405",1,"N","-73,986074","40,734866","CRD",15,"0,5","0,5",2,0,18
"CMT","2014-01-09 21:50:48","2014-01-09 22:18:05",1,"5,3","-73,980411","40,753945",1,"N","-73,99174","40,691309","CRD",21,"0,5","0,5","4,4",0,"26,4"
"CMT","2014-01-09 21:53:56","2014-01-09 22:02:22",2,"2,9","-74,007857","40,742873",1,"N","-73,985281","40,778812","CRD","10,5","0,5","0,5","2,3",0,"13,8"
"CMT","2014-01-09 21:56:40","2014-01-09 22:08:58",1,"5,3","-73,947182","40,776074",1,"N","-73,986671","40,720916","CRD",17,"0,5","0,5","3,6",0,"21,6"
"CMT","2014-01-09 21:54:03","2014-01-09 22:04:22",2,"2,9","-73,987789","40,760103",1,"N","-73,955655","40,779628","CRD","10,5","0,5","0,5","2,3",0,"13,8"
"CMT","2014-01-09 21:57:26","2014-01-09 22:06:33",1,"1,9","-73,967751","40,756128",1,"N","-73,987746","40,737628","CRD",9,"0,5","0,5",2,0,12
"CMT","2014-01-09 21:55:21","2014-01-09 22:03:50",1,"1,5","-73,986922","40,733265",1,"N","-74,005673","40,745606","CRD",8,"0,5","0,5","1,8",0,"10,8"
"CMT","2014-01-09 21:52:52","2014-01-09 22:11:41",2,"4,7","-73,992304","40,729064",1,"N","-73,981425","40,782717","CRD",17,"0,5","0,5",3,0,21
"CMT","2014-01-09 21:54:18","2014-01-09 22:04:39",2,"2,6","-73,981957","40,771245",1,"N","-73,952921","40,786689","CRD","10,5","0,5","0,5","3,45",0,"14,95"
"CMT","2014-01-09 21:57:19","2014-01-09 22:03:42",1,"1,6","-74,000168","40,73302",1,"N","-73,979069","40,737233","CRD",7,"0,5","0,5","1,6",0,"9,6"
"CMT","2014-01-09 21:56:07","2014-01-09 22:11:03",1,"3,7","-73,99047","40,734853",1,"N","-73,957877","40,714143","CRD","14,5","0,5","0,5","3,1",0,"18,6"
"CMT","2014-01-09 20:07:02","2014-01-09 20:21:27",1,"3,4","-73,954131","40,765564",1,"N","-73,98487","40,749215","CRD","13,5",1,"0,5",3,0,18
"CMT","2014-01-09 20:12:06","2014-01-09 20:15:00",1,"0,4","-73,984981","40,763726",1,"N","-73,982279","40,768947","CRD",4,"0,5","0,5","1,25",0,"6,25"
"CMT","2014-01-09 20:05:25","2014-01-09 20:39:53",1,13,"-73,873094","40,773951",1,"N","-73,938946","40,663904","CRD","38,5","0,5","0,5",1,0,"40,5"
"CMT","2014-01-09 20:09:22","2014-01-09 20:18:15",1,"1,4",0,0,1,"N",0,0,"CRD","7,5","0,5","0,5",1,0,"9,5"
"CMT","2014-01-09 20:06:15","2014-01-09 20:18:54",1,"2,1","-73,984875","40,740501",1,"N","-74,007831","40,716704","CRD","10,5","0,5","0,5","1,25",0,"12,75"
"CMT","2014-01-09 20:09:27","2014-01-09 20:18:19",2,2,"-73,964852","40,755624",1,"N","-73,947458","40,781951","CRD",9,"0,5","0,5","1,5",0,"11,5"
"CMT","2014-01-09 20:11:13","2014-01-09 20:16:56",1,"1,4","-73,965505","40,76128",1,"N","-73,957924","40,779028","CRD",7,"0,5","0,5","1,6",0,"9,6"
"CMT","2014-01-09 22:13:28","2014-01-09 22:35:03",1,"5,1","-73,990229","40,737053",1,"N","-73,940439","40,694233","CRD",20,"0,5","0,5","4,2",0,"25,2"
