k, lowest_similarity ,current_records,sim, div, iterations,total_time
2,0.2,[ 5700 6430 ], 0.594834544,1.0,1278172,10000.0099998
50,0.2,[ 5700 6430 1722 6425 9256 2433 4271 9255 6447 8513 4212 967 9875 6891 1969 388 3113 2153 6483 2305 4159 6292 5173 192 3385 4561 780 3095 6267 5943 8369 9533 8582 9289 2229 265 4247 9630 40 9515 5271 2831 8656 2459 326 9469 9609 894 2781 4509 ], 0.4370460048,1.0,263862,10000.001
100,0.2,[ 5700 6430 1722 2495 8810 2433 4271 9255 6447 8513 236 967 9875 6891 1969 388 3113 2153 1391 2305 9740 6214 5173 192 1881 2711 10146 3095 9794 3584 3250 6052 10104 9289 2229 265 4247 9630 40 9515 5271 2831 46 2459 326 9469 9609 894 8200 4161 4561 1145 6483 8455 6941 3087 237 1439 9168 8369 5943 7951 9675 4535 5598 6123 3343 7332 8608 79 6734 3385 5593 7749 4509 8655 2331 2877 3478 1717 9086 5181 8406 5591 9334 7259 43 78 325 191 266 8582 31 2782 389 5306 9256 3804 7451 535 ], 0.2647296207,1.0,155832,10000.029
150,0.2,[ 5700 6430 1722 7366 8810 2433 4271 9255 343 8513 9793 967 9875 6891 1969 388 3113 2153 1391 2305 5344 9502 5173 170 1392 9624 8576 3095 5851 6908 9007 9533 9995 9289 2229 265 4247 9630 40 9515 5271 8796 8619 2459 326 9469 9609 894 3658 4161 4561 1145 6483 8455 6941 6474 5014 1439 1765 8369 5943 7951 9675 4535 5598 6123 3343 8607 3040 79 39 8136 5593 7749 4509 8655 7113 2877 3063 483 6893 5181 4538 6294 9334 7259 43 78 325 191 266 8582 31 2782 389 5306 9256 3804 7451 5398 780 2495 4438 237 4212 4236 8656 5591 3668 8426 9168 6292 7312 9794 9778 8200 4448 9086 976 9922 2636 9470 5378 2228 8974 4406 6734 3250 7332 6268 1968 3500 6052 3478 6400 1780 6073 7102 3194 9740 1278 1779 2432 3657 1188 611 3552 6214 4034 8942 ], 0.2413236481,1.0,106697,10000.037
200,0.2,[ 5700 6430 1722 6425 1560 2433 4271 9255 6808 8513 9793 967 9875 6891 1969 388 3113 2153 7514 2305 4159 244 5173 3056 2513 7265 2800 3095 8984 10158 9007 4621 9995 9289 2229 265 4247 9630 40 9515 5271 8486 8619 2459 326 9469 9609 894 2781 4029 4561 2641 6483 8455 6941 3087 1645 1439 8405 8369 5943 7951 9675 4535 5598 6123 3343 6882 8608 79 91 3385 5593 7749 4509 8655 3200 2877 9476 7345 236 5181 5837 4018 1090 7259 43 78 325 191 266 8582 31 2782 389 5306 9256 3804 4844 7452 780 2495 4438 237 4212 10130 8656 5591 5398 8426 9168 6292 7312 9794 9778 8200 4448 9086 976 9922 2636 9470 5378 2228 8974 4406 6734 3250 7332 6268 1968 3500 6052 3478 6400 1780 221 6074 284 9740 1278 1779 2432 3657 1188 611 2213 6214 4034 8942 3040 9914 535 6474 5916 7366 10188 143 842 999 6665 9684 7984 7237 32 7922 9692 170 10146 3658 2281 2108 4318 7102 5622 118 5526 46 1295 9212 1658 4437 343 4924 3552 10104 219 7160 9804 451 1246 1392 3920 1426 3152 4236 8516 285 3194 534 ], 0.2070217918,1.0,84787,10000.081
250,0.2,[ 5700 6430 1722 598 8810 2433 4271 9255 6447 8513 699 967 9875 6891 1969 388 3113 2153 2862 2305 7661 5121 5173 3839 1717 8926 763 3095 6267 1401 9007 762 1498 9289 2229 265 4247 9630 40 9515 5271 4688 8619 2459 326 9469 9609 894 2781 9544 4561 9235 6483 8455 6941 3087 4926 1439 4795 3871 5943 7951 9675 4535 5598 6123 3343 5866 8608 79 3196 3385 5593 7749 4509 8655 2331 2877 2281 6894 41 6597 2089 2800 9334 7259 43 78 325 191 266 8582 31 2782 389 5306 9256 3804 6135 7452 780 2495 4438 237 4212 4317 8656 9623 5592 8426 9168 6292 7312 9794 9778 8200 4448 9086 976 9922 2636 9470 5378 2228 8974 4406 6734 3250 7332 6268 1968 3500 6052 3478 6400 1780 2471 6074 7934 9740 1278 1779 2432 3657 1188 611 6124 5587 4034 8942 3040 9914 535 6474 5916 7366 10188 143 842 3056 9112 9684 7984 7237 32 3668 9692 170 10146 3658 7490 2108 4318 7102 5622 118 5526 46 1295 483 7320 4437 343 4924 3552 10104 219 7160 9804 451 1246 1392 3920 1426 3152 4236 8516 285 3194 534 6294 8152 5344 4118 7265 3584 9502 863 6665 7250 5740 1090 484 6296 7966 8020 236 8136 299 91 9530 7050 3628 4018 8486 5940 1924 4762 4646 3532 7721 7514 5552 8406 9886 731 6808 10018 6908 9212 6742 4844 632 1296 221 142 4142 4501 3861 7840 ], 0.2017756255,1.0,83586,10000.007
300,0.2,[ 5700 6430 1722 6425 9852 2433 4271 9255 1462 8513 9793 967 9875 6891 1969 388 3113 2153 1391 2305 752 6464 5173 5416 4538 2711 7996 3095 513 7135 6648 9533 1498 9289 2229 265 4247 9630 40 9515 5271 2831 4794 2459 326 9469 9609 894 2781 7610 4561 9397 6483 8455 6941 3087 2800 1439 1560 8369 5943 7951 9675 4535 5598 6123 3343 8607 6843 79 39 6109 5593 7749 4509 8655 263 2877 3063 2776 10018 9544 5837 7859 6534 7259 43 78 325 191 266 8582 31 2782 389 5306 9256 3804 7451 8730 780 2495 4438 237 4212 3460 8656 5591 3429 8426 9168 6292 7312 9794 9778 8200 4448 9086 976 9922 2636 9470 5378 2228 8974 4406 6734 3250 7332 6268 1968 3500 6052 3478 6400 1780 6073 3509 1765 9740 1278 1779 2432 3657 1188 611 6124 4327 4034 8942 3040 9914 535 6474 5916 7366 10188 6661 9476 7782 4178 9684 7984 7237 32 6246 9692 170 10146 3658 1240 2108 4318 7102 5622 118 5526 46 1295 483 6771 4437 343 4924 3552 10104 219 7160 9804 451 1246 1392 3920 1426 3152 4236 8516 285 3194 534 6294 8152 5344 4118 21 3584 9502 7725 6665 7490 5740 1090 2471 6872 8796 8020 236 8136 299 91 9530 7050 3628 4018 8486 5940 1924 4762 4646 3532 7721 7514 8405 4100 9886 731 5084 8082 6908 7580 730 4844 632 1296 221 142 4142 4501 7922 7840 4926 762 3668 3531 3752 4076 9212 999 598 2513 4029 7563 169 1620 1616 8809 8017 1717 7190 5866 4463 4078 2947 90 4389 6894 863 1484 5352 4688 2112 4077 4213 9623 9965 1513 8480 4887 1461 8926 4043 100 9145 484 701 5851 7017 119 6742 6817 ], 0.2005649718,1.0,83450,10000.032
