Value,All,0.0 ~ 0.1,0.1 ~ 0.2,0.2 ~ 0.3,0.3 ~ 0.4,0.4 ~ 0.5,0.5 ~ 0.6,0.6 ~ 0.7,0.7 ~ 0.8,0.8 ~ 0.9,0.9 ~ 1.0
Similarity,1904159,1711945,160126,23102,6663,1220,841,185,46,20,11
Distance,1904159,1289271,476604,91919,20352,23861,205,1156,716,54,21
