k,0.2,0.5,0.7,0.9
2,0.081,0.080,0.076,0.078
50,0.100,0.076,0.073,0.075
100,0.167,0.111,0.076,0.074
150,0.129,0.104,0.075,0.076
200,0.152,0.075,0.074,0.073
250,0.182,0.101,0.075,0.077
300,0.090,0.074,0.075,0.074
